id,index,mask_area_results,circle_area_results,curvature_results,decimalLatitude,decimalLongitude,genus,specificEpithet,pr_cat_id,count_gt_thresh,ind_max_iou,max_mask_iou
NSW:NSW:NSW 370638,3,34.33112,15.65872,1.065066,-18.27,142.62,Corymbia,gilbertensis,0,0,-1,0
NSW:NSW:NSW 473380,1,8.13624,2.120428,1.055209,-14.78,127.08,Corymbia,bleeseri,0,0,-1,0
NSW:NSW:NSW 928487,0,46.62347,31.52291,1.050756,-17.38,124.0,Corymbia,cadophora,0,0,-1,0
NSW:NSW:NSW 200470,7,5.626455,0.8605098,1.058489,-33.4,122.4,Eucalyptus,quadrans,0,0,-1,0
NSW:NSW:NSW 370269,1,25.83929,10.71955,1.030179,-17.73,123.57,Corymbia,cadophora,0,0,-1,0
NSW:NSW:NSW 301297,0,12.63096,1.969851,1.060859,-31.13,144.62,Eucalyptus,coolabah subsp. coolabah x intertexta,0,0,-1,0
NSW:NSW:NSW 370638,4,37.12634,15.25339,1.016857,-18.27,142.62,Corymbia,gilbertensis,0,0,-1,0
NSW:NSW:NSW 355795,0,12.36535,3.259849,1.029289,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 311893,2,20.6061,12.55268,1.09948,-37.43,145.72,Eucalyptus,ovata,0,0,-1,0
NSW:NSW:NSW 317087,5,4.866316,1.636621,1.229871,-34.78,150.05,Eucalyptus,cinerea,0,0,-1,0
NSW:NSW:NSW 370653,13,5.682911,1.537623,1.01791,-29.58,152.33,Eucalyptus,acaciiformis,0,0,-1,0
NSW:NSW:NSW 143556,5,1.41735,0.3432624,1.095537,-33.7,151.1,Angophora,costata,0,0,-1,0
NSW:NSW:NSW 355830,1,3.106667,0.5356485,1.295007,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 352968,8,3.204879,0.8823872,1.068687,-33.82,119.8,Eucalyptus,leptocalyx,0,0,-1,0
NSW:NSW:NSW 323716,0,17.73817,2.83517,1.35007,-35.68,149.43,Eucalyptus,dalrympleana,0,0,-1,0
NSW:NSW:NSW 301922,0,24.59978,12.22421,1.137966,-14.48,132.3,Corymbia,foelscheana,0,0,-1,0
NSW:NSW:NSW 301297,3,8.060085,1.199706,1.138381,-31.13,144.62,Eucalyptus,coolabah subsp. coolabah x intertexta,0,0,-1,0
NSW:NSW:NSW 304188,2,83.36206,71.17584,1.008885,-17.28,126.63,Eucalyptus,pantoleuca,0,0,-1,0
NSW:NSW:NSW 473380,2,3.383593,0.4331434,1.254717,-14.78,127.08,Corymbia,bleeseri,0,0,-1,0
NSW:NSW:NSW 215325,15,0.6086893,0.102663,1.041053,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 355737,2,5.761403,0.8162175,1.094908,-30.35,149.85,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 939607,2,2.137393,0.2758977,1.105979,-18.42,133.85,Eucalyptus,odontocarpa,0,0,-1,0
NSW:NSW:NSW 355830,15,1.509454,0.4386733,1.05763,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 355830,14,1.811636,0.5092746,1.102257,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 300848,3,2.191286,0.5911575,1.025226,-13.47,132.28,Eucalyptus,tectifica,0,0,-1,0
NSW:NSW:NSW 300848,6,10.2068,1.956197,1.060982,-13.47,132.28,Eucalyptus,tectifica,0,0,-1,0
NSW:NSW:NSW 355795,1,12.59847,3.058784,1.035464,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 355720,8,3.874329,1.008317,1.071946,-30.88,149.7,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 939607,0,1.894638,0.3142785,1.094348,-18.42,133.85,Eucalyptus,odontocarpa,0,0,-1,0
NSW:NSW:NSW 255514,0,9.352512,2.842955,1.031474,-33.45,150.63,Angophora,costata,0,0,-1,0
NSW:NSW:NSW 208982,0,24.91428,5.203066,1.038791,-18.22,142.8,Corymbia,pocillum,0,0,-1,0
NSW:NSW:NSW 143464,0,7.702042,0.8893671,1.054663,-33.62,150.82,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 355830,17,1.586881,0.4275455,1.092325,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 319010,2,12.52303,3.313276,1.071773,-30.5,151.62,Eucalyptus,viminalis,0,0,-1,0
NSW:NSW:NSW 939607,4,5.769234,0.9918766,1.307681,-18.42,133.85,Eucalyptus,odontocarpa,0,0,-1,0
NSW:NSW:NSW 316385,7,18.24176,2.616499,1.548385,-37.07,143.58,Eucalyptus,nortonii,0,0,-1,0
NSW:NSW:NSW 304188,0,74.84365,55.325,1.018081,-17.28,126.63,Eucalyptus,pantoleuca,0,0,-1,0
NSW:NSW:NSW 319010,0,6.966154,1.438264,1.143284,-30.5,151.62,Eucalyptus,viminalis,0,0,-1,0
